id,state_id/id,name
base.county_us_266,base.state_us_22,Boyd
base.county_us_267,base.state_us_18,Boyle
base.county_us_268,base.state_us_18,Bracken
base.county_us_269,base.state_us_10,Bradford
base.county_us_270,base.state_us_39,Bradford
base.county_us_271,base.state_us_4,Bradley
base.county_us_272,base.state_us_43,Bradley
base.county_us_273,base.state_us_35,Branch
base.county_us_274,base.state_us_11,Brantley
base.county_us_275,base.state_us_49,Braxton
base.county_us_276,base.state_us_44,Brazoria
base.county_us_277,base.state_us_44,Brazos
base.county_us_278,base.state_us_18,Breathitt
base.county_us_279,base.state_us_18,Breckinridge
base.county_us_280,base.state_us_16,Bremer
base.county_us_281,base.state_us_10,Brevard
base.county_us_282,base.state_us_44,Brewster
base.county_us_283,base.state_us_44,Briscoe
base.county_us_284,base.state_us_34,Bristol
base.county_us_285,base.state_us_40,Bristol
base.county_us_286,base.state_us_2,Bristol Bay Borough
base.county_us_287,base.state_us_47,Bristol City
base.county_us_288,base.state_us_21,Broadwater
base.county_us_289,base.state_us_27,Bronx
base.county_us_290,base.state_us_49,Brooke
base.county_us_291,base.state_us_42,Brookings
base.county_us_292,base.state_us_11,Brooks
base.county_us_293,base.state_us_44,Brooks
base.county_us_294,base.state_us_27,Broome
base.county_us_295,base.state_us_6,Broomfield
base.county_us_296,base.state_us_10,Broward
base.county_us_297,base.state_us_14,Brown
base.county_us_298,base.state_us_15,Brown
base.county_us_299,base.state_us_17,Brown
base.county_us_300,base.state_us_22,Brown
base.county_us_301,base.state_us_30,Brown
base.county_us_302,base.state_us_36,Brown
base.county_us_303,base.state_us_42,Brown
base.county_us_304,base.state_us_44,Brown
base.county_us_305,base.state_us_50,Brown
base.county_us_306,base.state_us_42,Brule
base.county_us_307,base.state_us_28,Brunswick
base.county_us_308,base.state_us_47,Brunswick
base.county_us_309,base.state_us_11,Bryan
base.county_us_310,base.state_us_31,Bryan
base.county_us_311,base.state_us_16,Buchanan
base.county_us_312,base.state_us_38,Buchanan
base.county_us_313,base.state_us_47,Buchanan
base.county_us_314,base.state_us_47,Buckingham
base.county_us_315,base.state_us_39,Bucks
base.county_us_316,base.state_us_16,Buena Vista
base.county_us_317,base.state_us_47,Buena Vista City
base.county_us_318,base.state_us_22,Buffalo
base.county_us_319,base.state_us_42,Buffalo
base.county_us_320,base.state_us_50,Buffalo
base.county_us_321,base.state_us_18,Bullitt
base.county_us_322,base.state_us_11,Bulloch
base.county_us_323,base.state_us_1,Bullock
base.county_us_324,base.state_us_28,Buncombe
base.county_us_325,base.state_us_14,Bureau
base.county_us_326,base.state_us_11,Burke
base.county_us_327,base.state_us_28,Burke
base.county_us_328,base.state_us_29,Burke
base.county_us_329,base.state_us_29,Burleigh
base.county_us_330,base.state_us_44,Burleson
base.county_us_331,base.state_us_25,Burlington
base.county_us_332,base.state_us_44,Burnet
base.county_us_333,base.state_us_50,Burnett
base.county_us_334,base.state_us_22,Burt
base.county_us_335,base.state_us_1,Butler
base.county_us_336,base.state_us_16,Butler
base.county_us_337,base.state_us_17,Butler
base.county_us_338,base.state_us_18,Butler
base.county_us_339,base.state_us_22,Butler
base.county_us_340,base.state_us_30,Butler
base.county_us_341,base.state_us_38,Butler
base.county_us_342,base.state_us_39,Butler
base.county_us_343,base.state_us_13,Butte
base.county_us_344,base.state_us_42,Butte
base.county_us_345,base.state_us_5,Butte
base.county_us_346,base.state_us_11,Butts
base.county_us_347,base.state_us_28,Cabarrus
base.county_us_348,base.state_us_49,Cabell
base.county_us_349,base.state_us_39,Cabo Rojo Municipio
base.county_us_350,base.state_us_45,Cache
base.county_us_351,base.state_us_31,Caddo
base.county_us_352,base.state_us_19,Caddo Parish
base.county_us_353,base.state_us_39,Caguas Municipio
base.county_us_354,base.state_us_5,Calaveras
base.county_us_355,base.state_us_19,Calcasieu Parish
base.county_us_356,base.state_us_18,Caldwell
base.county_us_357,base.state_us_28,Caldwell
base.county_us_358,base.state_us_38,Caldwell
base.county_us_359,base.state_us_44,Caldwell
base.county_us_360,base.state_us_19,Caldwell Parish
base.county_us_361,base.state_us_46,Caledonia
base.county_us_362,base.state_us_1,Calhoun
base.county_us_363,base.state_us_10,Calhoun
base.county_us_364,base.state_us_11,Calhoun
base.county_us_365,base.state_us_14,Calhoun
base.county_us_366,base.state_us_16,Calhoun
base.county_us_367,base.state_us_35,Calhoun
base.county_us_368,base.state_us_37,Calhoun
base.county_us_369,base.state_us_4,Calhoun
base.county_us_370,base.state_us_41,Calhoun
base.county_us_371,base.state_us_44,Calhoun
base.county_us_372,base.state_us_49,Calhoun
base.county_us_373,base.state_us_44,Callahan
base.county_us_374,base.state_us_38,Callaway
base.county_us_375,base.state_us_18,Calloway
base.county_us_376,base.state_us_50,Calumet
base.county_us_377,base.state_us_33,Calvert
base.county_us_378,base.state_us_13,Camas
base.county_us_379,base.state_us_39,Cambria
base.county_us_380,base.state_us_11,Camden
base.county_us_381,base.state_us_25,Camden
base.county_us_382,base.state_us_28,Camden
base.county_us_383,base.state_us_38,Camden
base.county_us_384,base.state_us_39,Cameron
base.county_us_385,base.state_us_44,Cameron
base.county_us_386,base.state_us_19,Cameron Parish
base.county_us_387,base.state_us_44,Camp
base.county_us_388,base.state_us_18,Campbell
base.county_us_389,base.state_us_42,Campbell
base.county_us_390,base.state_us_43,Campbell
base.county_us_391,base.state_us_47,Campbell
base.county_us_392,base.state_us_51,Campbell
base.county_us_393,base.state_us_39,Camuy Municipio
base.county_us_394,base.state_us_31,Canadian
base.county_us_395,base.state_us_11,Candler
base.county_us_396,base.state_us_43,Cannon
base.county_us_397,base.state_us_39,Canóvanas Municipio
base.county_us_398,base.state_us_13,Canyon
base.county_us_399,base.state_us_38,Cape Girardeau
base.county_us_400,base.state_us_25,Cape May
base.county_us_401,base.state_us_21,Carbon
base.county_us_402,base.state_us_39,Carbon
base.county_us_403,base.state_us_45,Carbon
base.county_us_404,base.state_us_51,Carbon
base.county_us_405,base.state_us_13,Caribou
base.county_us_406,base.state_us_18,Carlisle
base.county_us_407,base.state_us_36,Carlton
base.county_us_408,base.state_us_39,Carolina Municipio
base.county_us_409,base.state_us_33,Caroline
base.county_us_410,base.state_us_47,Caroline
base.county_us_411,base.state_us_11,Carroll
base.county_us_412,base.state_us_14,Carroll
base.county_us_413,base.state_us_15,Carroll
